CODIGO;TITULO;TITULO_SEM_ACENTO_E_EM_CAIXA_ALTA
223220;Cirurgião dentista - estomatologista;CIRURGIAO DENTISTA - ESTOMATOLOGISTA
223224;Cirurgião dentista - implantodontista;CIRURGIAO DENTISTA - IMPLANTODONTISTA
223228;Cirurgião dentista - odontogeriatra;CIRURGIAO DENTISTA - ODONTOGERIATRA
223276;Cirurgião dentista - odontologia do trabalho;CIRURGIAO DENTISTA - ODONTOLOGIA DO TRABALHO
223288;Cirurgião dentista - odontologia para pacientes com necessidades especiais;CIRURGIAO DENTISTA - ODONTOLOGIA PARA PACIENTES COM NECESSIDADES ESPECIAIS
223232;Cirurgião dentista - odontologista legal;CIRURGIAO DENTISTA - ODONTOLOGISTA LEGAL
223236;Cirurgião dentista - odontopediatra;CIRURGIAO DENTISTA - ODONTOPEDIATRA
223240;Cirurgião dentista - ortopedista e ortodontista;CIRURGIAO DENTISTA - ORTOPEDISTA E ORTODONTISTA
223244;Cirurgião dentista - patologista bucal;CIRURGIAO DENTISTA - PATOLOGISTA BUCAL
223248;Cirurgião dentista - periodontista;CIRURGIAO DENTISTA - PERIODONTISTA
223252;Cirurgião dentista - protesiólogo bucomaxilofacial;CIRURGIAO DENTISTA - PROTESIOLOGO BUCOMAXILOFACIAL
223256;Cirurgião dentista - protesista;CIRURGIAO DENTISTA - PROTESISTA
223260;Cirurgião dentista - radiologista;CIRURGIAO DENTISTA - RADIOLOGISTA
